sample_fp	plate	cycle	well	tile
/Users/koppikarps/Development/ops/novaseq/NTIndividual_final_P1/Cycle1/Well6_Point6_0000_A.nd2	1	1	Well6	0
/Users/koppikarps/Development/ops/novaseq/NTIndividual_final_P1/Cycle2/Well6_Point6_0000_C.nd2	1	2	Well6	0
/Users/koppikarps/Development/ops/novaseq/NTIndividual_final_P1/Cycle3/Well6_Point6_0000_G.nd2	1	3	Well6	0
/Users/koppikarps/Development/ops/novaseq/NTIndividual_final_P1/Cycle4/Well6_Point6_0000_T.nd2	1	4	Well6	0
